Size	BytesSoFar	DeltaCreationEnqueue	DeltaEnqueue	DeltaStayedQueue	DeltaDequeue
1	1094599	1	33	1	32
1	1095850	1	32	2	33
1	1098955	1	35	15	48
1	1107478	1	33	14	32
1	1097263	1	33	13	32
1	1098298	2	35	10	32
1	1097344	1	32	8	30
1	1094473	1	32	9	33
1	1093195	1	35	7	33
1	1096507	1	32	7	32
1	1104130	1	34	4	31
1	1104220	0	33	4	33
1	1108909	1	34	1	31
1	1093537	1	33	16	48
1	1104184	1	34	13	31
2	1105939	1	33	37	57
2	2201474	1	32	5	57
1	1096498	1	35	9	39
1	1098037	1	33	9	33
1	1105291	1	33	7	31
1	1103014	1	34	6	33
1	1099270	1	33	5	32
1	1114768	1	33	4	32

1	1103932	1	34	16	46
1	1103662	1	33	14	31
1	1103185	1	33	14	33
1	1108270	1	34	12	32
1	1101502	1	33	10	31
1	1098370	1	33	12	35
1	1103689	1	33	8	29
1	1103194	1	34	8	34
1	1096309	1	33	7	32
1	1102186	1	34	5	32
1	1103023	1	33	4	32
1	1097848	1	33	2	31
1	1100269	1	35	15	48
1	1109125	1	32	15	32
1	1099540	2	33	15	33
1	1113157	1	33	12	30
1	1101529	1	33	11	32
1	1099900	2	34	8	31
1	1099729	1	34	7	33
1	1110952	1	33	7	33
1	1094824	1	33	6	32
1	1097758	1	35	3	32
1	1095841	1	32	3	32
1	1095112	1	33	1	31
1	1105768	1	35	14	48
1	1105498	1	32	14	32
1	1101664	1	33	11	30
1	1105219	1	34	12	35
1	1103977	1	33	10	31
1	1101772	1	33	8	31

1	1099027	1	34	6	32
1	1105057	1	32	6	32
1	1098451	1	33	5	32
1	1096390	2	35	2	32
1	1106290	1	33	14	45
1	1100980	1	33	1	20
1	1103320	1	34	13	46
1	1092340	1	33	11	31
1	1104985	1	33	12	34
1	1102636	1	34	9	31
1	1099567	1	33	8	32
1	1103392	1	33	7	32
1	1095922	1	34	4	31
1	1100629	1	33	3	32
1	1104706	1	34	2	33
1	1103023	1	33	14	45
1	1108405	1	34	14	34
1	1108369	1	32	13	31
1	1092169	1	34	12	33
1	1096795	0	32	12	32
1	1100008	1	34	9	31
1	1099963	1	34	8	33
1	1092457	1	33	8	33
1	1115020	1	33	7	32
1	1121347	1	34	5	32
1	1110808	1	33	4	32
1	1093870	1	33	3	32
1	1072990	1	34	2	33
1	1063702	1	33	15	46
1	1074448	1	33	14	32

1	1062847	1	34	11	31
1	1041148	1	33	12	34
1	1024642	1	33	9	30
1	1015273	1	33	10	34
1	1017568	1	33	7	30
1	1010503	1	32	6	31
1	1005517	1	35	5	34
1	1001854	1	33	4	32
1	1002331	1	33	3	32
1	1013275	1	34	16	47
1	993646	1	33	14	31
1	1007722	1	32	14	32
1	1010836	1	35	12	33
1	1007983	0	32	12	32
1	1003870	1	34	8	30
1	1004212	1	34	6	32
1	996787	1	34	7	35
1	1006804	1	32	6	31
1	1008082	1	35	1	30
1	1017874	1	33	1	33
1	1026280	1	32	1	32
1	1056007	0	34	15	48
1	1072945	1	33	14	32
1	1083745	1	33	11	30
1	1084105	1	34	9	32
1	1095211	1	33	8	32
1	1107388	1	33	9	34
1	1114264	1	35	6	32
1	1115470	1	32	6	32
1	1109728	1	33	4	31

1	1112500	1	35	1	32
1	1102402	1	33	15	47
1	1114417	1	33	16	34
1	1102942	1	34	13	31
1	1109908	1	33	13	33
1	1101466	1	32	12	31
1	1098550	1	34	8	30
1	1101016	1	33	8	33
1	1097542	1	33	8	33
1	1095886	1	35	5	32
1	1089235	1	34	3	32
1	1095580	2	33	2	32
1	1091530	1	33	14	45
1	1098946	1	33	15	34
1	1095832	2	34	13	32
1	1091701	1	33	14	34
1	1089721	1	33	12	31
1	1091026	1	33	11	32
1	1092538	1	34	9	32
1	1092709	1	34	8	33
1	1089910	1	32	6	30
1	1094500	1	34	3	31
1	1092232	1	32	5	34
1	1085203	1	34	3	32
1	1088614	1	34	14	45
1	1084231	1	33	13	32
1	1082386	1	33	13	33
1	1082809	1	34	11	32
1	1087579	2	33	12	34
1	1080829	1	43	16	47

1	1073359	0	25	24	33
1	1081117	1	33	24	33
1	1076680	1	33	5	14
1	1079992	1	33	4	32
1	1079218	1	34	1	31
1	1080784	1	31	2	32
