UTC	Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	FPS Requirement	Latency Requirement
02.28.42.721	11	0	0	0	0	0.5	0	0	30
02.28.43.731	3	0	0	43.7291258529628	40.72	0.5	0.95	0	30
02.28.43.735	7	0	0	254005381	508010762	0.5	0.95	0	30
02.28.43.740	11	0	0	0	0	0.5	0	0	30
02.28.44.750	3	0	0	43.7291258529628	40.72	0.5	0.95	0	30
02.28.44.754	7	0	0	254005381	508010762	0.5	0.95	0	30
02.28.44.759	11	0	0	0	0	0.5	0	0	30
02.28.45.770	3	0	0	43.7291258529628	40.72	0.5	0.95	0	30
02.28.45.775	7	0	0	254005381	508010762	0.5	0.95	0	30
02.28.45.779	11	0	0	0	0	0.5	0	0	30
