Source	FPS	Mbps	Latency EMA	Latency SMA	Alpha	Step	UTC
4	19.8609731876862	59.8279721946375	287.548349280095	707.02	0.5	0.2	11.26.27.618
4	19.9203187250996	60.1529641434263	391.836129280756	638.37	0.5	0.2	11.26.28.622
4	24.9500998003992	64.7738682634731	404.066436494473	546.89	0.5	0.2	11.26.29.624
4	24.9003984063745	63.2796334661355	363.633464024461	528.82	0.5	0.2	11.26.30.629
4	23.9282153539382	62.2613359920239	259.960002817718	518.92	0.5	0.2	11.26.31.633
4	23.9520958083832	61.1839760479042	360.942911623716	552.43	0.5	0.2	11.26.32.636
4	23	58.906776	522.574988589981	551.94	0.5	0.2	11.26.33.638
4	22.9083665338645	58.9866932270916	275.810152956842	523.79	0.5	0.2	11.26.34.642
4	23.9520958083832	61.521125748503	274.720603275904	503.26	0.5	0.2	11.26.35.644
4	24.8756218905473	63.9168955223881	929.761905006188	487.98	0.5	0.2	11.26.36.651
4	20.9580838323353	61.9924311377246	377.438502084641	474.34	0.5	0.2	11.26.37.654
4	21.9123505976096	65.2298725099602	540.871918410541	513.03	0.5	0.1	11.26.38.659
4	20.9371884346959	62.9694915254237	597.079481540641	604.92	0.5	0.1	11.26.39.662
4	20.979020979021	63.2398801198801	2373.37842039084	714.03	0.5	0.1	11.26.40.665
4	19.8412698412698	54.887619047619	981.785641283612	862.96	0.5	0.1	11.26.41.674
4	24.9252243270189	65.3681994017946	933.021025751309	984.74	0.5	0.1	11.26.42.679
4	5.97014925373134	17.5137671641791	1033.75065705473	1006.33	0.5	0	11.26.43.685
4	22.8855721393035	66.3102567164179	2421.45529743286	1329.06	0.5	0	11.26.44.694
4	20.9371884346959	59.2631066799601	2487.06404443292	1576.03	0.5	0	11.26.45.697
4	19.8807157057654	56.1514592445328	2618.89513066485	1803.47	0.5	0	11.26.46.705
4	22.977022977023	62.2937862137862	3109.58866162068	2161.78	0.5	0	11.26.47.707
4	21.9341974077767	57.6063409770688	2748.45294158425	2488.76	0.5	0	11.26.48.713
4	12	30.660264	2979.07395163163	2573.04	0.5	0	11.26.49.714
4	25.9481037924152	71.5224191616767	5143.93311597062	3687.49	0.5	0	11.26.50.716
4	15.9045725646123	49.4168588469185	4230.560866289	3953.59	0.5	0	11.26.51.725
4	19.9600798403194	57.4545389221557	4616.49782541316	4304.61	0.5	0	11.26.52.728
4	21.978021978022	63.2714085914086	4917.82593583853	4693.27	0.5	0	11.26.53.731
4	20.8747514910537	60.1025367793241	4641.86942370027	5038.12	0.5	0	11.26.54.737
4	21.9123505976096	63.2508047808765	5382.27690002189	4683.81	0.5	0.5	11.26.55.742
4	21.9341974077767	62.8845224327019	6652.37889272616	4994.69	0.5	0.5	11.26.56.744
4	21.9123505976096	62.6341434262948	6031.5057884166	5250.28	0.5	0.5	11.26.57.749
4	11.9284294234592	34.1282147117296	6117.15075824912	5416.34	0.5	0.5	11.26.58.757
4	19.8807157057654	56.9371610337972	6740.15130813158	5835.35	0.5	0.5	11.26.59.765
4	20.8333333333333	59.6702857142857	8537.44275835784	6283.38	0.5	0.5	11.27.00.774
4	15.9203980099502	45.5938626865672	7741.5988803311	6922.37	0.5	0.5	11.27.01.781
4	18.9431704885344	54.3598085742772	8089.17591590668	7346.23	0.5	0.5	11.27.02.784
4	18.981018981019	54.3583696303696	8483.49588046249	7774.6	0.5	0.5	11.27.03.786
4	18.8679245283019	54.0197576961271	8860.83969782997	8168.91	0.5	0.5	11.27.04.795
